ResponseID,Other (please specify),To make it easier to understand dependencies in complex projects,To proactively identify replacements for components that reach end-of-life,To monitor project risk,Research into SBOMs,To monitor project dependencies,To meet software licensing requirements,Conduct software risk assessment prior to procurement and installation: https://energycentral.com/c/um/bod-and-c-level-series-software-vulnerability-reporting-and-risk-management ,Because my organization asks me to,To keep track of dependency vulnerabilities,To meet regulatory requirements,To provide others with information about my project,No Answer
R_3kcX5GVjOS0Bqsc,,,,,,1,1,,,1,1,1,
R_3Gvw4BEgHtMjou7,,,,,,,,,,,,1,
R_1etaPjf7ww473XA,,,,,,,,,,,,,1
R_1lt6DlQzUc9YCuQ,,,,,,1,1,,,1,1,1,
R_1M4HoMp9oXP92Jc,,,,,,,,,,,,,1
R_3MrNOoshiY0ac9F,,,1,,,,,,,1,1,,
R_1CqN5FujZLDvcKR,1,1,1,1,,1,1,,1,1,1,1,
R_1gnCm7rvxLjS2rN,,,,,,,,,,,,,1
R_2uq9Acrc4ykecue,,,,,,,,,,,,,1
R_1OW6El7D3OdhNRf,,1,,,,1,1,,,1,1,,
R_2X02uH9Mm87FxHp,1,,,,,,,1,,1,,,
R_bHpYNSKRMzkT17z,,,,,,,,,,,,,1
R_1diviwEB1kpQfiN,,1,1,,,1,1,,,1,1,1,
R_1pXOYrzicaKEh9a,,1,1,,,1,,,,1,,,
R_9t3tC0i9hMcu7wl,,,1,,,,1,,,1,1,1,
R_2zcJ4lHWpUWKJ2n,,,,,,,,,,,,,1
R_2yl8CXmByyorHTE,,1,1,,,1,,,,1,,1,
R_1dKyAHvfmPtEwpX,,,,,,,,,,,,,1
R_2q9OkXfkfd1mKNK,,,,,,1,,,,1,,1,
R_1KiKqNbCINEHxXY,,,,,,1,,,,1,,1,
R_1Cxae15gxzt2pNE,,,,,,1,1,,,1,,1,
R_uwgtDqxLmrDWQLf,,,,,,1,,,,1,,,
R_eG8r0YjTDRCybL3,,,1,,,1,1,,,1,1,1,
R_3MtHobBp4TUfCnf,1,1,1,,1,1,1,,1,1,1,1,
