ResponseID,Data labelers / taggers,Data pre-processing steps,Known data biases,"Known problems in a dataset ie. corrupt images, tips for using the dataset, including prewritten codebases for working with the data ie. repository of pytorch dataset definitions and sample training scripts for use with a newly proposed image dataset, visualization/data exporation tools, hosted access ie. huggingface datasets",Dataset size,Version description (dataset change log),Presence of Personally Identifiable Information,Dataset authors / creators,Dataset version,Dataset license,Data transformations,Known vulnerabilities and issues,Dataset description,Unique identifier,"Train/Test/Val split
",Procedure for data collection and curation,Creation time,Others (please specify),"individual image usage history. If an image is used in another dataset, it would be great to mention this on data changelog.","Types of data included in the dataset (image, text, binary, etc)",Data sources,Dataset statistics
R_snX1LGF2NUe2M6Z,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1
R_2nSZ6Uk4gpCWUxP,1,1,,,,1,1,1,1,1,1,,1,,,1,1,,,,1,
R_3DbEw6tOraj96Gs,,1,1,,1,1,1,,1,1,1,1,1,1,,1,1,,,1,1,1
R_3kdkXujBLUZKhh0,,1,1,,1,1,1,1,1,,1,1,,,,,1,,,1,1,1
R_3fqT2cEIFtvLSOn,,1,1,,1,,1,1,1,1,1,1,1,,,1,1,,,1,1,
R_3DvvLm2ClM35LuV,1,1,1,,1,1,,,1,,1,1,1,1,,1,,,,,1,
R_2fQicKO6LMixLAR,1,1,,,,,,,,,1,,,,,,,,,,,
R_2cAhImlk2Ck0mat,,,1,,,,,,,,1,,,,,,,,,,,
R_Wx2cn6RfYxDu3Dz,1,1,1,,1,,1,1,1,1,1,1,1,,1,,1,1,,1,1,
R_2Y5O7bIDKYRDgxj,,1,,,1,,1,,,,1,1,1,1,,,,,,1,1,1
R_1q8n5SpYhsIYMg4,1,1,1,,1,,,,,,,,,,,1,1,,,1,1,
R_1mmIXtQKGgLWU7P,,1,,,1,,,,1,,,,,1,,1,,,,,1,
R_55W4oRWHfxOQzT3,,1,1,,1,1,1,1,1,1,1,1,1,,,1,1,,,1,1,1
R_4NF31pzBLP32S6R,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,,,1,1,1
R_pRGaZXs482rgAZX,,1,1,,1,,1,1,1,1,1,1,1,1,,1,1,,,1,1,
R_1mnnusK22udQw8S,1,1,1,,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1
R_1n7Jt1YCHoTG4OD,,1,,,,,,,1,,1,,,1,,,,,,,1,
R_Z9OwHebnJViKb05,,,1,,1,1,,1,,,1,1,,,,1,,,,1,1,
R_1re29t5ffAzofYC,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,,,1,1,1
R_37tJ6C11CZ9OlfH,,,,,1,,,,1,,1,,1,,,1,,,,,1,
